Date,Price
1833-01-01,18.93
1833-01-02,18.93
1833-01-03,18.93
1833-01-04,18.93
1833-01-05,18.93
1833-01-06,18.93
1833-01-07,18.93
1833-01-08,18.93
1833-01-09,18.93
1833-01-10,18.93
1833-01-11,18.93
1833-01-12,18.93
1833-01-13,18.93
1833-01-14,18.93
1833-01-15,18.93
1833-01-16,18.93
1833-01-17,18.93
1833-01-18,18.93
1833-01-19,18.93
1833-01-20,18.93
1833-01-21,18.93
1833-01-22,18.93
1833-01-23,18.93
1833-01-24,18.93
1833-01-25,18.93
1833-01-26,18.93
1833-01-27,18.93
1833-01-28,18.93
1833-01-29,18.93
1833-01-30,18.93
1833-01-31,18.93
1833-02-01,18.93
1833-02-02,18.93
1833-02-03,18.93
1833-02-04,18.93
1833-02-05,18.93
1833-02-06,18.93
1833-02-07,18.93
1833-02-08,18.93
1833-02-09,18.93
1833-02-10,18.93
1833-02-11,18.93
1833-02-12,18.93
1833-02-13,18.93
1833-02-14,18.93
1833-02-15,18.93
1833-02-16,18.93
1833-02-17,18.93
1833-02-18,18.93
1833-02-19,18.93
1833-02-20,18.93
1833-02-21,18.93
1833-02-22,18.93
1833-02-23,18.93
1833-02-24,18.93
1833-02-25,18.93
1833-02-26,18.93
1833-02-27,18.93
1833-02-28,18.93
1833-03-01,18.93
1833-03-02,18.93
1833-03-03,18.93
1833-03-04,18.93
1833-03-05,18.93
1833-03-06,18.93
1833-03-07,18.93
1833-03-08,18.93
1833-03-09,18.93
1833-03-10,18.93
1833-03-11,18.93
1833-03-12,18.93
1833-03-13,18.93
1833-03-14,18.93
1833-03-15,18.93
1833-03-16,18.93
1833-03-17,18.93
1833-03-18,18.93
1833-03-19,18.93
1833-03-20,18.93
1833-03-21,18.93
1833-03-22,18.93
1833-03-23,18.93
1833-03-24,18.93
1833-03-25,18.93
1833-03-26,18.93
1833-03-27,18.93
1833-03-28,18.93
1833-03-29,18.93
1833-03-30,18.93
1833-03-31,18.93
1833-04-01,18.93
1833-04-02,18.93
1833-04-03,18.93
1833-04-04,18.93
1833-04-05,18.93
1833-04-06,18.93
1833-04-07,18.93
1833-04-08,18.93
1833-04-09,18.93
1833-04-10,18.93
1833-04-11,18.93
